ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2476090,HH808481,11/28/2002 12:00:00 PM,101XX S EWING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0432,004,10,52,07,,,2002,08/17/2015 03:03:40 PM,,,
2476133,HH809765,11/29/2002 10:40:00 PM,041XX W GLADYS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1132,011,24,26,07,,,2002,08/17/2015 03:03:40 PM,,,
2476516,HH809730,11/30/2002 05:02:00 AM,007XX W ARMITAGE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1812,018,43,7,03,,,2002,08/17/2015 03:03:40 PM,,,
2476898,HH810606,11/30/2002 11:30:00 AM,002XX N WESTERN AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,false,false,1332,012,27,28,26,,,2002,08/17/2015 03:03:40 PM,,,
2476954,HH809366,11/29/2002 09:30:00 PM,091XX S PAXTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0413,004,7,48,07,,,2002,08/17/2015 03:03:40 PM,,,
2477161,HH800197,11/25/2002 01:13:00 AM,004XX E 103RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,GAS STATION,false,false,0511,005,9,49,04B,,,2002,08/17/2015 03:03:40 PM,,,
2477991,HH812513,11/27/2002 03:00:00 PM,003XX W SCOTT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1821,018,43,8,14,,,2002,08/17/2015 03:03:40 PM,,,
10454300,HZ193505,11/11/2014 10:00:00 AM,058XX W SCHOOL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1633,016,38,15,11,,,2014,03/20/2016 03:47:00 PM,,,
2482903,HH817737,11/30/2002 11:30:00 PM,023XX S DR MARTIN LUTHER KING JR DR,0890,THEFT,FROM BUILDING,HOTEL/MOTEL,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
2484006,HH817531,11/23/2002 09:00:00 AM,025XX N LOGAN BL XR,0820,THEFT,$500 AND UNDER,STREET,false,false,1432,014,1,22,06,,,2002,08/17/2015 03:03:40 PM,,,
2484254,HH819392,11/29/2002 12:00:00 PM,023XX S LAKE SHORE DR E,0890,THEFT,FROM BUILDING,OTHER,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
2489967,HH825782,12/08/2002 02:00:00 PM,023XX S DR MARTIN LUTHER KING JR DR,0890,THEFT,FROM BUILDING,OTHER,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
2487305,HH823431,12/04/2002 06:00:00 PM,021XX N LINCOLN PARK WEST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1814,018,43,7,14,,,2002,08/17/2015 03:03:40 PM,,,
2489504,HH825906,12/08/2002 05:00:23 PM,023XX S DR MARTIN LUTHER KING JR DR,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0133,001,2,33,03,,,2002,08/17/2015 03:03:40 PM,,,
2491777,HH829557,12/09/2002 06:30:00 PM,058XX W MIDWAY PARK,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1512,015,29,25,06,,,2002,08/17/2015 03:03:40 PM,,,
2436413,HH758283,09/26/2002 03:30:00 PM,066XX S CICERO AVE,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,false,false,0833,008,13,64,11,,,2002,08/17/2015 03:03:40 PM,,,
2569560,HJ156532,01/30/2003 11:34:02 PM,035XX W 13TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1021,010,24,29,08B,,,2003,08/17/2015 03:03:40 PM,,,
2569563,HJ157489,01/30/2003 07:00:00 PM,085XX S KOSTNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0834,008,18,70,14,,,2003,08/17/2015 03:03:40 PM,,,
10462786,HZ201875,01/01/2014 09:00:00 AM,048XX N HAMLIN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1712,017,39,14,11,,,2014,03/27/2016 03:49:31 PM,,,
10463241,HZ202620,03/27/2014 08:14:00 PM,002XX S LOTUS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1522,015,29,25,11,,,2014,03/27/2016 03:49:31 PM,,,
2500986,HH836917,12/13/2002 09:05:00 PM,058XX W MIDWAY PARK,0460,BATTERY,SIMPLE,OTHER,true,false,1512,015,29,25,08B,,,2002,08/17/2015 03:03:40 PM,,,
2502226,HH842233,12/16/2002 03:55:00 PM,064XX S HALSTED PKWY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0723,007,20,68,06,,,2002,08/17/2015 03:03:40 PM,,,
2505247,HH847550,12/18/2002 06:00:00 PM,003XX W SCOTT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,1821,018,43,8,14,,,2002,08/17/2015 03:03:40 PM,,,
2507457,HH850036,12/18/2002 01:00:00 PM,003XX N WACKER DR ER,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0124,001,42,32,06,,,2002,08/17/2015 03:03:40 PM,,,
2509994,HH854164,12/22/2002 02:30:00 PM,023XX S LAKE SHORE DR W,0820,THEFT,$500 AND UNDER,OTHER,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
10449389,HZ188596,08/14/2013 08:00:00 AM,096XX S CALHOUN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0431,004,7,51,11,,,2013,03/16/2016 03:52:30 PM,,,
2511790,HH856138,10/01/2002 03:00:00 PM,050XX S LAKE SHORE DR W,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2132,002,4,39,06,,,2002,08/17/2015 03:03:40 PM,,,
2510495,HH854158,12/19/2002 02:10:00 PM,103XX S DOTY AVE E,1320,CRIMINAL DAMAGE,TO VEHICLE,POLICE FACILITY/VEH PARKING LOT,false,false,0434,004,10,51,14,,,2002,08/17/2015 03:03:40 PM,,,
2511877,HH856465,12/23/2002 09:00:00 AM,023XX S LAKE SHORE DR E,0890,THEFT,FROM BUILDING,OTHER,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
2434930,HH751449,10/31/2002 11:30:00 PM,064XX W ARCHER AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0811,008,23,56,08A,,,2002,08/17/2015 03:03:40 PM,,,
10449349,HZ187684,06/22/2014 08:45:00 PM,069XX W GRAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2512,025,36,18,11,,,2014,03/16/2016 03:52:30 PM,,,
10449351,HZ187954,02/16/2016 10:35:00 AM,057XX S KIMBARK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0235,002,5,41,11,,,2016,03/16/2016 03:52:30 PM,,,
2518005,HH863632,12/28/2002 08:50:00 AM,004XX S PEORIA ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1213,012,2,28,06,,,2002,08/17/2015 03:03:40 PM,,,
10450743,HZ180392,06/01/2011 09:00:00 AM,059XX W GRACE ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,1633,016,38,15,20,,,2011,03/17/2016 03:52:03 PM,,,
10451607,HZ190605,07/05/2014 12:00:00 AM,041XX W GLADYS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1132,011,24,26,11,,,2014,03/18/2016 03:47:14 PM,,,
2992230,HJ692421,10/14/2003 11:05:00 AM,012XX W ADAMS ST,0560,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,false,false,1213,012,27,28,08A,,,2003,08/17/2015 03:03:40 PM,,,
10451810,HZ189400,01/04/2014 09:00:00 AM,015XX E 53RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,true,false,0234,002,4,41,11,,,2014,03/21/2017 03:48:14 PM,,,
2432340,HH751266,10/31/2002 09:40:00 PM,026XX N KILPATRICK AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2521,025,31,19,14,,,2002,08/17/2015 03:03:40 PM,,,
10448000,HZ187136,06/01/2003 12:00:00 PM,035XX N DAMEN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,true,1922,019,47,5,11,,,2003,03/19/2016 03:45:12 PM,,,
10449338,HZ187678,03/14/2016 02:10:00 PM,069XX S DR MARTIN LUTHER KING JR DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,0322,003,6,69,11,,,2016,03/21/2016 03:46:25 PM,,,
2429559,HH740693,10/26/2002 10:20:00 PM,025XX W 62ND ST,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,SIDEWALK,true,false,0825,008,15,66,15,,,2002,08/17/2015 03:03:40 PM,,,
